month,cargo_tonnes
January 2005,98781
February 2005,99555
March 2005,109388
April 2005,108058
May 2005,110613
June 2005,109861
July 2005,110844
August 2005,103194
September 2005,109000
October 2005,124648
November 2005,111801
December 2005,110233
January 2006,101573
February 2006,100282
March 2006,115064
April 2006,102026
May 2006,105446
June 2006,107263
July 2006,107590
August 2006,101564
September 2006,106926
October 2006,111120
November 2006,109452
December 2006,96112
January 2007,95644
February 2007,98403
March 2007,112257
April 2007,104441
May 2007,111613
June 2007,111857
July 2007,111874
August 2007,109516
September 2007,114624
October 2007,114662
November 2007,116456
December 2007,112298
January 2008,105475
February 2008,106504
March 2008,104438
April 2008,120950
May 2008,123862
June 2008,120964
July 2008,123996
August 2008,120285
September 2008,117521
October 2008,119501
November 2008,117621
December 2008,100210
January 2009,92580
February 2009,91046
March 2009,102963
April 2009,93171
May 2009,100045
June 2009,103403
July 2009,103403
August 2009,111324
September 2009,110244
October 2009,120618
November 2009,120618
December 2009,120209
January 2010,106299
February 2010,113021
March 2010,133399
April 2010,100477
May 2010,136165
June 2010,127574
July 2010,130094
August 2010,127200
September 2010,123680
October 2010,138301
November 2010,127961
December 2010,108913
January 2011,116176
February 2011,118325
March 2011,130909
April 2011,121689
May 2011,128083
June 2011,125718
July 2011,128103
August 2011,120942
September 2011,119097
October 2011,128305
November 2011,122769
December 2011,124371
January 2012,112324
February 2012,115920
March 2012,130860
April 2012,118686
May 2012,123172
June 2012,125013
July 2012,126512
August 2012,121469
September 2012,121135
October 2012,125367
November 2012,124057
December 2012,120035
January 2013,106425
February 2013,110948
March 2013,127862
April 2013,115175
May 2013,117849
June 2013,119786
July 2013,118962
August 2013,114225
September 2013,115547
October 2013,124099
November 2013,133376
December 2013,118759
January 2014,112093
February 2014,109803
March 2014,132989
April 2014,120194
May 2014,125982
June 2014,125407
July 2014,128206
August 2014,122831
September 2014,124570
October 2014,134453
November 2014,136419
December 2014,126134
January 2015,115847
February 2015,118248
March 2015,136842
April 2015,122879
May 2015,125067
June 2015,122964
July 2015,121240
August 2015,122540
September 2015,119091
October 2015,132575
November 2015,132211
December 2015,127153
January 2016,119214
February 2016,121424
March 2016,131661
April 2016,127091
May 2016,129671
June 2016,125536
July 2016,124451
August 2016,122909
September 2016,126109
October 2016,141444
November 2016,138050
December 2016,133641
January 2017,124401
February 2017,126812
March 2017,148269
April 2017,137979
May 2017,143511
June 2017,142349
July 2017,143259
August 2017,139023
September 2017,140643
October 2017,154492
November 2017,154364
December 2017,143353
January 2018,133030
February 2018,133140
March 2018,150565
April 2018,141215
May 2018,144171
June 2018,139329
July 2018,140241
August 2018,140738
September 2018,142343
October 2018,150070
November 2018,147047
December 2018,137776
January 2019,130762
February 2019,128065
March 2019,149417
April 2019,132893
May 2019,134028
June 2019,130873
July 2019,130589
August 2019,126864
September 2019,125693
October 2019,137875
November 2019,134328
December 2019,126171
January 2020,115894
February 2020,115859
March 2020,100857
April 2020,51003
May 2020,78308
June 2020,88854
July 2020,88397
August 2020,82960
September 2020,90247
October 2020,108535
November 2020,114080
December 2020,108870
January 2021,93780
February 2021,102764
March 2021,123432
April 2021,116479
May 2021,117500
June 2021,111059
July 2021,115347
August 2021,111500
September 2021,116389
October 2021,133622
November 2021,133852
December 2021,127188
January 2022,111037
February 2022,108524
March 2022,128978
April 2022,112828
May 2022,114364
June 2022,112555
July 2022,110044
August 2022,103461
September 2022,110098
October 2022,115084
November 2022,114754
December 2022,109151
January 2023,98594
February 2023,101960
March 2023,116786
April 2023,104509
May 2023,109096
June 2023,112210
July 2023,114887
August 2023,117145
September 2023,118420
October 2023,133265
November 2023,131985
December 2023,128203
January 2024,118766
February 2024,124764
March 2024,140152
April 2024,116131
May 2024,122083
June 2024,123085
July 2024,124884
August 2024,130019
September 2024,124081
October 2024,140599
November 2024,139204
December 2024,132617
