year,quarter,no_new_reg
2001,Q1,63.7
2001,Q2,60
2001,Q3,70.7
2001,Q4,47.7
2002,Q1,73.1
2002,Q2,65.1
2002,Q3,72.3
2002,Q4,49.5
2003,Q1,70
2003,Q2,66.1
2003,Q3,74.7
2003,Q4,52.3
2004,Q1,75.1
2004,Q2,65
2004,Q3,72.1
2004,Q4,51.3
2005,Q1,73
2005,Q2,61.4
2005,Q3,69.4
2005,Q4,47.9
2006,Q1,68.7
2006,Q2,59.6
2006,Q3,70.6
2006,Q4,44.8
2007,Q1,68.9
2007,Q2,61.9
2007,Q3,72.2
2007,Q4,48.5
2008,Q1,70.9
2008,Q2,56.8
2008,Q3,55.5
2008,Q4,32.1
2009,Q1,52.6
2009,Q2,50.9
2009,Q3,64.3
2009,Q4,48.6
2010,Q1,60.7
2010,Q2,50.5
2010,Q3,57
2010,Q4,40.6
2011,Q1,56.9
2011,Q2,49
2011,Q3,56.3
2011,Q4,40.1
2012,Q1,59
2012,Q2,51.2
2012,Q3,63.2
2012,Q4,43.1
2013,Q1,64.1
2013,Q2,59.2
2013,Q3,70.3
2013,Q4,47.8
2014,Q1,70.6
2014,Q2,64
2014,Q3,74.4
2014,Q4,53.2
2015,Q1,74.6
2015,Q2,65.9
2015,Q3,76.6
2015,Q4,50.4
2016,Q1,76.8
2016,Q2,64.6
2016,Q3,75.6
2016,Q4,53.1
2017,Q1,79.9
2017,Q2,57.1
2017,Q3,68.8
2017,Q4,43.9
2018,Q1,67
2018,Q2,59.6
2018,Q3,62.2
2018,Q4,44.3
2019,Q1,66.3
2019,Q2,57.4
2019,Q3,56.9
2019,Q4,40.2
2020,Q1,42
2020,Q2,13.4
2020,Q3,63.3
2020,Q4,42.5
2021,Q1,44.7
2021,Q2,51.5
2021,Q3,46
2021,Q4,39.1
2022,Q1,47.4
2022,Q2,46.1
2022,Q3,46.3
2022,Q4,40.7
2023,Q1,51.2
2023,Q2,52.8
2023,Q3,54.4
2023,Q4,46.5
2024,Q1,57.8
2024,Q2,52.4
